EntrezID	D_Ctrl_R1	D_TGFb_R1	D_Ctrl_R2	D_TGFb_R2	Hes_Ctrl_R1	Hes_TGFb_R1	Hes_Ctrl_R2	Hes_TGFb_R2	Hil_Ctrl_R1	Hil_Ctrl_R2	Hil_Ctrl_R3	Hil_TGFb_R1	Hil_TGFb_R2	Hil_TGFb_R3	M_Ctrl_R1	M_Ctrl_R2	M_Ctrl_R3	M_TGFb_R1	M_TGFb_R2	M_TGFb_R3	K_Ctrl_R1	K_Ctrl_R2	K_Ctrl_R3	K_TGFb_R1	K_TGFb_R2	K_TGFb_R3	S_A_Ctrl_R1	S_A_Ctrl_R2	S_A_Ctrl_R3	S_A_TGFb_R1	S_A_TGFb_R2	S_A_TGFb_R3
29911	7.435366	6.449663	7.609959	6.687289	8.634111	8.614638	8.545794	8.685414	8.272343	8.222804	8.395874	7.960096	8.250139	8.073908	7.20113	7.2054	7.092666	7.769026	7.526836	7.718445	7.571225	7.385425	7.669398	8.383478	8.244841	8.166239	7.403893	7.365622	7.177678	7.393382	7.322554	7.402938
29914	7.191225	7.10835	7.132666	6.881265	8.798611	8.317487	8.79179	8.109891	7.16577	7.004025	6.824398	7.508884	7.366556	7.470452	7.69225	7.742274	7.667115	8.269489	8.184057	8.243975	7.070278	7.527441	7.06271	6.561842	6.704908	6.582229	7.377613	7.369814	7.313669	6.935695	6.899339	6.985495
29915	4.966498	5.10631	5.161629	5.292762	5.074008	5.320204	5.381263	5.567714	6.654435	6.407106	6.625282	6.569082	6.711372	6.69478	6.898467	6.877932	6.891027	6.484066	6.354795	6.537369	4.879413	5.323621	5.105853	5.49087	5.534298	5.51572	6.706542	6.636404	6.883709	6.376687	6.683242	6.81623
29916	6.181532	6.533351	6.146978	6.242757	9.251277	9.347909	9.359411	9.355672	9.056699	9.041357	8.817234	9.258743	9.08519	8.963278	8.963159	8.900468	8.869577	9.097862	9.226764	9.145982	7.893864	7.903191	7.988931	8.21255	8.225143	8.197997	7.657138	7.873262	7.827099	7.556583	7.630105	7.683816
29919	6.258444	6.330778	6.297457	6.319006	5.652381	5.727298	5.563821	5.650432	8.712712	8.793321	8.668377	8.794486	8.747776	8.809714	4.12212	4.087651	4.204327	4.15898	4.285998	4.254779	5.343383	4.966905	5.299089	5.646682	5.586172	5.28617	4.990653	4.905274	4.936364	4.86935	4.878331	4.760553
29922	7.481271	7.980451	7.531076	8.076257	9.631162	10.52007	10.12062	10.50069	10.12454	10.15595	10.16192	10.18491	10.07627	10.30736	9.633534	9.768159	9.652772	10.51863	10.44311	10.43443	12.87397	13.25294	13.20076	12.45675	12.23934	12.48659	8.423721	8.541114	8.780235	6.801706	6.98424	6.913246
29923	7.318014	7.521303	7.367897	7.636122	9.014688	8.833954	9.135451	8.957025	7.451161	7.570723	7.24667	7.215968	7.387926	7.290662	12.12836	12.13238	12.15133	10.21856	10.1777	10.18746	8.902429	8.494629	8.380622	8.149856	7.921207	7.950887	10.12832	9.775981	9.725327	8.835243	9.032866	9.043422
29924	5.616289	5.566031	5.413151	5.573585	7.17707	7.187004	6.948065	7.257163	12.22285	12.26443	12.22285	12.35811	12.30127	12.22512	6.281534	6.297889	6.071546	6.328168	6.32583	6.492361	6.871856	6.810064	6.940472	6.707596	6.63733	6.557401	6.104867	6.182008	6.3023	6.309537	6.335208	6.304891
29926	5.988144	6.498496	6.371157	6.546885	8.242676	8.512716	8.174296	8.350365	9.141914	9.094793	9.010817	9.193365	9.221732	9.185364	8.830674	8.990324	8.913629	9.180055	9.198508	9.242345	7.910397	7.595067	7.979736	7.458082	7.433204	7.312536	8.134015	8.021028	8.132625	7.925678	8.085914	7.863409
29927	8.660736	9.080269	8.633854	9.014406	10.98649	11.02395	10.80205	10.89667	11.9968	12.09563	11.93968	11.99749	11.87274	11.72569	9.786944	9.923825	9.751454	10.50359	10.54491	10.32874	10.09769	9.904175	10.11844	9.325922	9.355707	9.207866	9.841915	9.899295	9.972902	10.21966	10.20108	10.11166
29928	7.053127	7.008587	6.95522	7.045109	8.996613	8.79734	8.944975	8.702681	8.572863	8.648638	8.54459	8.791393	8.555752	8.645164	8.360315	8.46747	8.365867	8.64311	8.795179	8.787157	7.573969	7.754585	7.75656	7.865308	7.840415	7.748862	8.79704	8.764719	8.886191	8.34486	8.498376	8.440341
29929	6.831649	6.744085	6.87174	6.561989	8.975712	8.632015	9.15045	8.650467	9.498916	9.29228	9.364511	9.421371	9.628419	9.524139	10.37575	10.29977	10.20285	9.864217	10.0178	9.968585	8.180463	7.972655	7.971644	8.429358	8.370339	8.458727	8.91145	9.062141	8.95327	8.187468	8.089758	7.987187
29930	4.37167	4.382195	4.322163	4.369504	5.491058	5.454047	5.344646	5.374953	5.392679	5.449036	5.52366	5.401939	5.643017	5.417481	3.986776	4.09088	4.038972	4.125143	4.064454	4.116363	4.505633	4.813382	4.745817	4.684154	4.421238	4.682404	4.621757	4.425626	4.331881	4.474191	4.599307	4.28141
29931	4.224246	5.06625	4.24377	4.827914	5.722762	5.719016	5.477523	5.827084	6.470836	6.162023	6.315979	7.076087	6.775256	6.993939	4.817455	4.859529	4.844996	4.985994	4.941255	5.252393	4.876785	5.149222	4.872953	9.268283	8.663985	9.358845	6.929647	7.017773	6.96486	8.158825	8.367698	8.219588
29933	4.330991	4.506007	4.461705	4.406038	6.127792	5.739817	5.767234	5.503225	6.800929	7.024516	7.140521	6.644869	6.771669	6.477261	3.716628	3.651396	3.686501	3.807961	3.785904	3.913985	4.677567	4.997688	4.716868	4.705986	4.438505	4.596233	3.783592	3.850354	3.675611	3.95354	3.926885	4.23692
29935	4.529296	4.657795	4.601124	4.583495	4.735046	4.78746	4.869809	4.571106	5.842374	5.794966	5.71151	5.808149	5.836195	5.667705	3.974307	3.944881	4.030462	4.026862	3.878036	4.185435	4.472245	4.429684	4.484211	4.532652	4.464808	4.597032	4.923483	4.610471	4.693174	4.279025	4.596921	4.438961
29937	8.737512	8.701747	8.819744	8.679206	8.852394	8.629142	8.704374	8.651376	10.83035	11.03488	10.82333	11.1009	10.72501	10.92805	9.235818	9.290088	9.229595	9.541528	9.412297	9.553792	10.05881	9.752628	9.768944	9.541931	9.568593	9.421288	9.129513	9.161695	9.121197	8.628448	8.610041	8.67685
29940	8.190382	8.258123	8.508622	8.458739	11.16603	11.57046	11.32799	11.5094	10.74296	10.63006	10.82731	11.21256	11.3244	11.47855	8.393985	8.548555	8.5148	9.418543	9.178095	9.257152	4.721615	4.985502	4.785928	9.279063	10.02669	9.931577	9.14834	9.114943	9.176263	11.83468	11.87378	11.82782
29942	4.227472	4.304936	4.166592	4.205817	3.303553	3.558162	3.409304	3.409304	5.82462	5.87991	5.600998	5.78167	5.899751	5.89749	5.279871	5.249913	5.409923	5.190395	5.396685	5.19944	5.240023	5.567328	4.878991	4.774032	4.971325	4.827216	4.36218	4.425373	4.121452	4.580832	4.600968	4.464632
29943	4.332102	4.337948	4.245507	4.258091	5.090925	5.103558	4.857948	5.06753	5.914294	5.891529	5.765397	5.753683	5.950284	6.012751	7.642224	7.612973	7.552976	7.614475	7.733627	7.706147	5.055803	5.058486	5.090706	5.33285	5.379264	5.330653	6.680907	6.346726	6.484144	6.618976	6.756288	6.673004
29944	4.306629	4.320563	4.212854	4.266906	6.69912	6.896775	6.763826	6.715331	8.301719	8.416197	8.1649	7.785563	7.512813	7.370928	5.424832	5.697817	5.459421	5.42841	5.954525	5.80469	6.448319	5.984338	6.275606	6.318681	6.229589	6.020812	5.699509	5.542652	5.638002	5.633762	5.60135	5.513797
29946	5.607782	6.149892	5.779185	5.950569	8.328842	8.697028	8.230326	8.754486	6.947904	7.010898	6.936099	7.45456	7.325242	7.455135	7.882815	8.022614	7.906802	7.862257	7.922594	7.947651	8.666955	8.521894	8.712623	9.07481	9.195409	9.228611	8.624198	8.633783	8.470005	8.753734	8.764388	8.866779
29947	4.238616	4.240397	4.20843	4.231805	5.759657	5.656443	5.665982	5.598246	5.818588	5.721724	5.71151	5.606244	5.714321	5.780235	4.562909	4.570956	4.425678	4.348526	4.769167	4.619798	4.807768	4.112044	4.702792	4.803576	4.88441	4.833367	4.865514	5.03966	4.707085	5.032309	4.765686	4.98354
29948	4.906984	4.807236	4.8346	4.844528	6.689507	6.624548	6.594071	6.501659	7.532267	7.739107	7.238243	7.504944	7.077305	7.223786	6.088231	6.081722	6.213232	6.343158	6.179405	6.290437	8.111063	8.268023	8.226941	6.619758	6.517473	6.313454	7.020522	7.2177	6.896025	6.107839	6.236436	6.249677
29949	4.335485	4.466307	4.382116	4.342562	5.838644	5.687928	5.681532	5.499242	5.504739	5.509406	5.549595	5.482821	5.439227	5.361373	4.509689	4.590614	4.666602	4.417291	4.707689	4.776832	5.263001	4.96481	4.891854	4.908709	4.930953	5.024414	4.791983	4.905022	4.757204	4.979598	4.783324	4.850454
29951	4.232831	4.226134	4.152011	4.229093	3.267799	3.273234	3.165828	3.439488	6.222206	6.316426	6.231624	5.70782	5.719468	5.785495	3.764903	3.61283	3.593911	3.703257	3.833359	3.92427	3.922937	4.014057	3.962258	4.114397	4.073748	4.094854	3.154878	2.897091	2.804254	3.147008	2.97654	3.153206
29953	4.166485	4.223709	4.204575	4.173323	6.47343	5.911951	6.154845	6.126488	5.598203	5.665851	5.54089	5.654322	5.576742	5.661553	3.561005	3.565359	3.589093	3.62284	3.717592	3.636093	3.794733	3.883871	3.966406	4.043816	3.991984	3.87866	2.821142	2.835346	2.98922	3.174652	3.19328	3.107108
29954	6.553593	6.764218	6.499615	6.841264	7.784426	7.934153	7.663544	7.739591	7.775523	7.823157	7.863835	7.60674	8.113881	8.063228	8.06544	7.939848	8.208037	8.728998	8.650072	8.725523	6.948159	7.042093	7.110616	8.172703	8.283365	8.138421	7.302115	7.239169	6.991752	7.293113	7.347382	7.331995
29956	9.20509	9.113526	9.17601	9.114882	10.96048	10.74857	10.80621	10.71833	10.2066	10.2485	10.20223	9.722972	9.624554	9.541675	12.08293	12.03683	12.20587	12.00265	11.95677	11.94655	11.4029	11.76409	11.71537	11.60701	11.66736	11.66016	10.41975	10.42491	10.40789	10.06743	9.932328	10.04403
29957	7.597828	8.344936	7.451339	8.285679	5.557276	5.295567	5.564796	5.312095	6.498021	6.361709	6.546603	6.73753	6.659276	6.549995	10.44975	10.5116	10.47895	10.64118	10.49105	10.54565	10.50669	10.46119	10.57597	10.78183	10.74684	10.978	5.039055	4.831701	4.775487	5.079949	5.017294	5.247848
29959	8.133141	8.569192	8.137607	8.49967	9.525011	9.98414	9.426458	9.836585	7.574486	7.36643	7.239734	7.551404	7.871052	7.922218	8.653679	8.637133	8.697527	9.155739	9.234393	9.059238	8.842171	8.466193	8.796277	8.67608	8.739997	8.831714	8.291104	8.205361	8.300048	8.140847	8.222697	8.120026
29960	7.21153	6.829586	6.993273	6.871183	9.981431	9.849638	10.12899	9.758913	7.370759	7.641163	7.574371	7.604894	7.574035	7.496079	9.773596	9.789147	9.830351	9.9744	9.596198	9.706395	8.763556	8.302716	8.665094	8.66006	8.73545	8.607496	10.08001	10.16682	10.20278	9.693057	9.735847	9.693882
29965	4.722296	4.641023	4.940153	4.713034	6.517362	6.484961	6.097774	6.332031	6.901522	6.899345	6.821521	6.617008	6.632544	6.580749	6.98451	7.073138	7.145522	6.994184	6.825509	6.920032	5.209991	4.919127	5.211567	5.133024	5.082269	5.017572	5.525197	5.866325	5.825264	6.279094	6.409458	6.121548
29966	5.723511	5.971292	5.870143	6.026667	8.925132	9.116192	9.221037	9.369322	9.701066	9.879583	9.969036	9.827076	9.830674	9.813005	8.915384	8.899143	8.96013	8.811307	8.73489	8.80501	6.027336	6.010496	5.743034	6.116967	6.152465	6.231056	6.733844	6.674443	6.791206	6.226999	6.231403	6.388824
29967	6.388475	7.0363	6.380886	6.911282	8.32177	8.533193	8.379226	8.461336	6.703992	6.540797	6.565177	6.96778	6.776855	6.846503	6.272824	6.361412	6.449421	7.423463	6.883312	6.95493	6.853909	7.277972	7.30272	8.510368	8.767523	8.673207	8.187646	8.236164	8.223906	9.356643	9.525841	9.363265
29968	8.267097	7.290454	8.412794	7.502273	11.20918	10.89348	11.15135	10.82396	8.862842	9.057598	8.879433	8.198675	8.153417	8.144807	12.12533	12.18859	12.11343	12.42489	12.52283	12.33001	10.78968	10.30787	10.2777	9.754272	9.543752	9.829313	12.25921	12.25459	12.29489	11.34309	11.23227	11.28741
29969	5.049922	5.730956	5.032389	5.464776	6.668663	7.068734	6.487298	6.865202	8.084017	8.141243	8.15183	8.525714	8.31651	8.415056	4.656223	4.75261	4.685212	5.086109	5.125503	5.036986	7.723348	7.68758	7.275565	8.994794	8.817509	8.672663	9.398352	9.402871	9.512735	10.00247	10.07013	10.08035
29974	4.320517	4.383914	4.288861	4.246631	6.167308	6.146195	5.919576	5.843632	5.684634	5.692511	5.634859	5.769632	5.674064	5.676482	5.4438	5.459686	5.459686	5.398934	5.772048	5.543949	9.482644	10.37177	10.08619	6.863094	6.333891	6.674133	5.564434	5.601425	5.321733	5.580925	5.371646	5.307024
29978	6.259702	6.625163	6.308793	6.553957	9.877646	10.18155	9.795169	10.11837	11.1003	11.03663	11.14064	10.96481	10.89104	10.89386	10.39055	10.40736	10.5817	10.3297	10.12234	10.26163	9.746717	9.762207	9.870382	10.03407	9.994114	10.09937	10.62001	10.78794	10.81396	10.79262	10.81494	10.71429
29980	7.485716	7.744479	7.221626	7.591472	9.56253	9.318781	9.541362	9.187683	7.781293	7.890338	8.084186	8.393358	8.319569	8.323801	8.874696	9.025956	9.057624	8.755518	8.610846	8.634421	8.222453	7.019929	7.424615	7.141581	6.884043	7.001315	8.343157	8.34163	8.656139	7.910172	8.063357	8.010127
29984	7.092797	6.624558	7.205925	6.671002	9.744476	10.54957	9.547944	10.50496	8.713718	8.635916	8.711212	8.933685	9.04861	8.930036	7.420065	7.380691	7.4952	7.879592	7.725092	7.802225	7.273173	6.618388	6.748836	8.729223	8.45222	8.603777	7.471319	7.441452	7.512703	7.907878	8.11931	7.866486
29986	4.435045	4.448866	4.357208	4.323201	5.794598	5.789579	5.757316	5.752298	5.509747	5.518471	5.423794	5.542881	5.620086	5.52366	5.015425	4.86711	5.070232	5.02682	4.940586	4.941854	5.433798	5.710941	5.466549	5.300161	5.483918	5.30292	4.796176	4.997024	4.855778	5.084022	5.127004	4.829791
29988	6.185564	6.152675	6.248057	5.893157	5.258953	5.513708	5.088898	5.303869	8.85489	8.889874	8.869881	8.835709	8.712712	8.632151	6.099833	6.269159	6.202441	7.516535	7.469653	7.361225	6.452717	6.460119	6.238387	6.556487	6.682461	6.769264	7.292663	7.194894	7.201839	6.862498	6.913594	6.833993
29991	4.34277	4.322408	4.256471	4.256907	6.819033	6.878652	6.678038	6.78693	5.521255	5.401939	5.445935	5.679359	5.423794	5.526603	6.869355	6.81487	6.834556	6.666435	7.077534	7.051642	7.504678	7.260907	7.338923	7.717632	7.658058	7.575465	6.616401	6.296212	6.224065	6.248262	6.050786	6.295452
29992	6.058967	4.811848	5.617325	5.157234	5.038794	4.831839	4.768462	4.768462	6.03145	6.105666	5.936813	5.995005	5.869491	5.728926	4.090984	4.150409	4.036892	4.095954	4.167103	3.984308	4.855379	4.545067	4.613064	4.257123	4.241024	4.582443	5.998486	5.805297	5.752562	5.742253	5.688949	5.620975
29994	4.519675	4.585791	4.455011	4.484375	8.013824	7.939937	8.18594	8.628175	9.860189	9.634882	9.798925	8.900884	9.040843	9.013346	8.928898	8.917128	9.145177	8.424951	8.12824	8.422421	7.866455	8.743823	8.248165	10.19745	10.3537	10.38939	8.971397	9.001183	8.961473	10.14096	10.13603	10.11299
29995	5.658178	9.295115	5.540263	9.022837	7.354622	8.155269	7.372315	8.050213	10.74861	10.78264	10.72761	11.53118	11.22933	11.59013	6.866448	7.10686	6.902904	9.875291	9.975693	9.829199	7.998351	7.415454	7.538867	11.60403	11.76	11.59515	5.325737	5.479408	5.467937	8.527373	8.716606	8.515369
29998	8.888662	8.561198	9.035992	8.381213	7.921655	7.812413	7.731953	7.610497	7.509707	7.551897	7.286002	7.331399	7.302151	7.144566	6.697856	6.652945	6.669256	6.597468	6.652108	6.717766	7.982798	7.924598	7.992402	8.021338	8.278204	8.270323	7.287475	7.069611	6.95513	7.073114	6.961462	6.975456
29999	4.36169	4.349488	4.280216	4.337067	6.035396	6.010399	5.83543	5.982129	5.518302	5.518471	5.632129	5.554129	5.681999	5.650573	5.471673	5.365871	5.596705	5.596705	5.488509	5.306585	5.473912	5.922565	5.252965	5.563696	5.632652	5.545621	4.949343	4.96288	4.690082	5.18315	5.18315	5.185818
30000	4.813868	4.614606	4.81794	4.709849	8.697311	8.392467	8.689002	8.41707	10.82285	10.73205	10.78615	11.07078	11.18611	11.05487	9.741834	9.782869	9.751037	9.325356	9.356163	9.247252	5.890547	5.620796	6.116601	5.763681	5.771635	5.512947	7.824384	7.747814	7.747814	7.578337	7.658695	7.703632
30001	5.36578	5.754238	5.724699	5.901374	11.457	11.74213	11.64755	11.72786	8.836452	8.655837	8.684974	8.857535	8.703594	8.768249	9.306318	9.411411	9.383925	10.42556	10.29373	10.35893	10.44638	10.42268	10.43038	10.68421	10.63053	10.58837	8.514116	8.455552	8.565002	8.760334	8.763575	8.697493
