EntrezID	S_HCC_Ctrl_R1	S_HCC_Ctrl_R2	S_HCC_Ctrl_R3	S_HCC_TGFb_R1	S_HCC_TGFb_R2	S_HCC_TGFb_R3	S_NCI_Ctrl_R1	S_NCI_Ctrl_R2	S_NCI_Ctrl_R3	S_NCI_TGFb_R1	S_NCI_TGFb_R2	S_NCI_TGFb_R3	T_Ctrl1_R1	T_Ctrl1_R2	T_Ctrl1_R3	T_TGFb_R1	T_TGFb_R2	T_TGFb_R3	T_Ctrl2_R1	T_Ctrl2_R2	T_Ctrl2_R3	W_Ctrl_R1	W_Ctrl_R2	W_Ctrl_R3	W_TGFb_R1	W_TGFb_R2	W_TGFb_R3
93081	7.593862	8.011849	8.066567	7.816633	7.758604	7.585534	8.909703	8.995015	8.885009	8.668803	8.812856	8.736746	10.01106	10.01931	10.06657	9.748935	9.848298	9.599212	9.896119	9.726264	9.713015	7.033511	6.689489	6.447798	6.55936	6.404892	6.63961
93129	7.800366	7.439449	7.543776	7.454158	7.534073	7.781659	8.15904	8.22861	8.378714	8.377492	8.33796	8.376763	7.66251	7.540985	7.925741	7.945778	7.925741	8.209299	7.901283	7.925741	8.23835	6.047637	6.243916	6.406939	5.819799	5.446485	6.0752
93164	3.661153	3.546227	3.604529	3.699943	3.938948	3.435382	5.430294	5.530069	5.470899	6.018716	6.006158	5.99625	4.723089	4.776505	4.955781	4.92738	4.644965	4.776505	4.785802	4.586806	4.716049	2.746729	3.242941	2.619495	2.758264	2.855717	2.856206
93210	8.64067	8.222732	8.257	7.700764	7.673657	7.752697	8.132021	8.12242	8.170796	8.027726	8.005617	7.946044	5.818004	5.92828	5.961642	6.121622	6.167271	6.057903	6.211491	6.14479	6.403751	4.129781	3.545787	3.847504	3.168835	3.744816	3.623628
93349	9.871529	9.691327	9.803005	9.51183	9.538568	9.494295	9.037208	8.941117	9.012592	8.446249	8.558313	8.604823	7.561504	7.688252	7.745994	8.349482	8.37791	8.266404	7.753745	7.681717	7.591336	4.553752	4.265634	4.680814	5.124575	5.332375	4.71864
93408	6.846016	7.016609	6.867903	7.061406	6.949183	6.983292	4.998999	5.117186	4.836277	5.559916	5.545508	5.719872	5.063415	5.063415	5.063415	5.229182	5.130516	5.063415	5.054203	5.063415	5.063415	2.680473	2.789734	2.736404	2.938411	2.93053	2.843665
93436	7.321666	7.5398	7.573055	7.56205	7.585948	7.634339	7.358688	7.267671	7.193595	7.47744	7.414872	7.333949	8.040378	8.078723	8.006078	8.166215	8.089464	8.21029	7.956146	7.927079	8.040378	5.81438	5.360644	5.231536	5.343242	5.391902	5.009019
93487	10.39166	10.39065	10.34621	10.93498	11.00094	10.96055	9.602912	9.63938	9.459851	10.31144	10.21001	10.25529	13.15778	13.16099	13.15332	13.60168	13.59777	13.61704	12.82883	12.73981	12.74568	5.011545	5.156706	5.178689	5.334776	5.564478	5.199333
93594	5.680743	5.731079	5.699832	4.72606	4.809768	4.934483	6.555872	6.677668	6.734258	6.23634	6.226761	6.303378	9.191523	9.328126	9.354115	8.104872	8.380736	8.431435	8.85095	8.81997	8.714779	3.611838	3.213818	3.475618	3.673447	3.295939	3.491614
93643	9.096557	9.095243	9.037392	9.614071	9.556702	9.536878	6.923362	6.947098	6.851828	6.959336	6.909769	6.959469	8.388485	8.528186	8.527997	8.654089	8.549883	8.62925	8.497407	8.529466	8.563932	4.911544	4.963785	4.880465	4.763554	4.829436	4.847976
93664	6.28195	6.07848	6.06357	5.420469	5.056047	5.737152	6.734496	6.739754	6.723457	7.501477	7.562469	7.588053	4.808997	4.843902	4.948031	5.233789	4.960772	4.957755	4.691299	4.843902	4.744271	2.756948	2.690814	2.740009	2.673742	2.575976	2.565569
93973	6.805986	7.029375	6.933388	7.080918	7.060754	7.13951	6.787864	6.81695	6.510075	7.007814	7.067441	7.169078	6.414488	6.527103	6.224135	6.511091	6.672907	6.778025	6.240987	6.485025	6.36256	3.239462	3.380139	3.251898	3.384602	3.227602	3.364673
93974	10.83409	11.01804	10.92652	10.07046	10.09348	10.12545	7.990375	7.904225	7.650245	7.464943	7.57657	7.558708	11.32832	11.42125	11.36792	10.99456	10.94442	10.87625	11.053	11.00438	11.053	8.248033	7.936481	8.00093	8.029366	7.782217	8.06135
