"SampleIds","Gender","Runs","Biology"
"Sample_199","female","Run1","Activated_4hours"
"Sample_200","female","Run1","Activated_4hours"
"Sample_201","male","Run1","Activated_4hours"
"Sample_202","female","Run1","Activated_4hours"
"Sample_203","male","Run1","Activated_4hours"
"Sample_204","female","Run1","Activated_4hours"
"Sample_205","male","Run1","Activated_4hours"
"Sample_206","female","Run1","Activated_4hours"
"Sample_207","female","Run1","Activated_4hours"
"Sample_208","female","Run1","Activated_4hours"
"Sample_209","female","Run1","Activated_4hours"
"Sample_210","male","Run1","Activated_4hours"
"Sample_211","male","Run1","Activated_4hours"
"Sample_212","female","Run1","Activated_4hours"
"Sample_213","female","Run1","Activated_4hours"
"Sample_214","female","Run1","Activated_4hours"
"Sample_215","female","Run1","Activated_4hours"
"Sample_216","male","Run1","Activated_4hours"
"Sample_217","female","Run1","Activated_4hours"
"Sample_218","male","Run1","Activated_4hours"
"Sample_219","female","Run1","Activated_4hours"
"Sample_220","female","Run1","Activated_4hours"
"Sample_221","female","Run1","Activated_4hours"
"Sample_222","male","Run1","Activated_4hours"
"Sample_223","female","Run1","Activated_4hours"
"Sample_224","male","Run1","Activated_4hours"
"Sample_225","male","Run1","Activated_4hours"
"Sample_226","male","Run1","Activated_4hours"
"Sample_227","female","Run1","Activated_4hours"
"Sample_228","male","Run1","Activated_4hours"
"Sample_229","female","Run1","Activated_4hours"
"Sample_230","female","Run1","Activated_4hours"
"Sample_231","male","Run1","Activated_4hours"
"Sample_232","female","Run1","Activated_4hours"
"Sample_233","male","Run1","Activated_4hours"
"Sample_234","male","Run1","Activated_4hours"
"Sample_235","male","Run1","Activated_4hours"
"Sample_236","male","Run1","Activated_4hours"
"Sample_237","male","Run1","Activated_4hours"
"Sample_238","male","Run1","Activated_4hours"
"Sample_239","female","Run1","Activated_4hours"
"Sample_240","male","Run1","Activated_4hours"
"Sample_241","female","Run1","Activated_4hours"
"Sample_242","male","Run1","Activated_4hours"
"Sample_243","male","Run1","Activated_4hours"
"Sample_244","male","Run1","Activated_4hours"
"Sample_245","male","Run1","Activated_4hours"
"Sample_246","male","Run1","Activated_4hours"
"Sample_247","female","Run1","Activated_4hours"
"Sample_248","female","Run1","Activated_4hours"
"Sample_249","female","Run1","Activated_4hours"
"Sample_250","female","Run1","Activated_4hours"
"Sample_251","female","Run1","Activated_4hours"
"Sample_252","male","Run1","Activated_4hours"
"Sample_253","male","Run1","Activated_4hours"
"Sample_254","male","Run1","Activated_4hours"
"Sample_255","male","Run1","Activated_4hours"
"Sample_256","female","Run1","Activated_4hours"
"Sample_257","female","Run1","Activated_4hours"
"Sample_258","female","Run1","Activated_4hours"
"Sample_259","female","Run1","Activated_4hours"
"Sample_260","male","Run1","Activated_4hours"
"Sample_261","male","Run1","Activated_4hours"
"Sample_262","female","Run1","Activated_4hours"
"Sample_263","male","Run1","Activated_4hours"
"Sample_264","female","Run1","Activated_4hours"
"Sample_265","female","Run1","Activated_4hours"
"Sample_266","female","Run1","Activated_4hours"
"Sample_267","female","Run1","Activated_4hours"
"Sample_268","female","Run1","Activated_4hours"
"Sample_269","male","Run1","Activated_4hours"
"Sample_270","female","Run1","Activated_4hours"
"Sample_271","male","Run1","Activated_4hours"
"Sample_272","male","Run1","Activated_4hours"
"Sample_161","male","Run1","Activated_4hours"
"Sample_274","female","Run1","Activated_4hours"
"Sample_275","female","Run1","Activated_4hours"
"Sample_276","female","Run1","Activated_4hours"
"Sample_277","male","Run1","Activated_4hours"
"Sample_278","male","Run1","Activated_4hours"
"Sample_279","female","Run1","Activated_4hours"
"Sample_280","male","Run1","Activated_4hours"
"Sample_281","female","Run1","Activated_4hours"
"Sample_282","male","Run1","Activated_4hours"
"Sample_283","female","Run1","Activated_4hours"
"Sample_284","female","Run1","Activated_4hours"
"Sample_285","male","Run1","Activated_4hours"
"Sample_286","male","Run1","Activated_4hours"
"Sample_287","female","Run1","Activated_4hours"
"Sample_288","male","Run1","Activated_4hours"
"Sample_289","female","Run1","Activated_4hours"
"Sample_290","female","Run1","Activated_4hours"
"Sample_291","female","Run1","Activated_4hours"
"Sample_292","female","Run1","Activated_4hours"
"Sample_293","male","Run1","Activated_4hours"
"Sample_294","male","Run1","Activated_4hours"
"Sample_295","female","Run1","Activated_4hours"
"Sample_199","female","Run1","Activated_4hours"
"Sample_297","female","Run1","Activated_4hours"
"Sample_298","female","Run1","Activated_4hours"
"Sample_299","male","Run1","Activated_4hours"
"Sample_300","male","Run1","Activated_4hours"
"Sample_171","male","Run1","Activated_4hours"
"Sample_302","female","Run1","Activated_4hours"
"Sample_303","female","Run1","Activated_4hours"
"Sample_304","female","Run1","Activated_4hours"
"Sample_305","female","Run1","Activated_4hours"
"Sample_306","male","Run1","Activated_4hours"
"Sample_185","female","Run1","Activated_4hours"
"Sample_308","female","Run1","Activated_4hours"
"Sample_309","male","Run1","Activated_4hours"
"Sample_310","female","Run1","Activated_4hours"
"Sample_311","male","Run1","Activated_4hours"
"Sample_312","male","Run1","Activated_4hours"
"Sample_313","female","Run1","Activated_4hours"
"Sample_314","male","Run1","Activated_4hours"
"Sample_315","male","Run1","Activated_4hours"
"Sample_316","male","Run1","Activated_4hours"
"Sample_317","male","Run1","Activated_4hours"
"Sample_318","male","Run1","Activated_4hours"
"Sample_319","female","Run1","Activated_4hours"
"Sample_320","female","Run1","Activated_4hours"
"Sample_321","male","Run1","Activated_4hours"
"Sample_322","male","Run1","Activated_4hours"
"Sample_323","female","Run1","Activated_4hours"
"Sample_324","female","Run1","Activated_4hours"
"Sample_325","male","Run1","Activated_4hours"
"Sample_326","female","Run1","Activated_4hours"
"Sample_327","female","Run1","Activated_4hours"
"Sample_328","male","Run1","Activated_4hours"
"Sample_329","female","Run1","Activated_4hours"
"Sample_330","female","Run1","Activated_4hours"
"Sample_331","female","Run1","Activated_4hours"
"Sample_332","female","Run1","Activated_4hours"
"Sample_333","female","Run1","Activated_4hours"
"Sample_334","male","Run1","Activated_4hours"
"Sample_335","female","Run1","Activated_4hours"
"Sample_336","male","Run1","Activated_4hours"
"Sample_337","male","Run1","Activated_4hours"
"Sample_338","female","Run1","Activated_4hours"
"Sample_339","male","Run1","Activated_4hours"
"Sample_340","female","Run1","Activated_4hours"
"Sample_341","male","Run1","Activated_4hours"
"Sample_342","female","Run1","Activated_4hours"
"Sample_343","male","Run1","Activated_4hours"
"Sample_344","female","Run1","Activated_4hours"
"Sample_345","female","Run1","Activated_4hours"
"Sample_346","female","Run1","Activated_4hours"
"Sample_347","male","Run1","Activated_4hours"
"Sample_348","male","Run1","Activated_4hours"
"Sample_349","female","Run1","Activated_4hours"
"Sample_350","female","Run1","Activated_4hours"
"Sample_351","male","Run1","Activated_4hours"
"Sample_352","female","Run1","Activated_4hours"
"Sample_353","male","Run1","Activated_4hours"
"Sample_354","female","Run1","Activated_4hours"
"Sample_355","female","Run1","Activated_4hours"
"Sample_172","female","Run1","Activated_4hours"
"Sample_357","female","Run1","Activated_4hours"
"Sample_358","male","Run1","Activated_4hours"
"Sample_359","female","Run2","Activated_48hours"
"Sample_360","female","Run2","Activated_48hours"
"Sample_361","female","Run2","Activated_48hours"
"Sample_362","female","Run2","Activated_48hours"
"Sample_363","female","Run2","Activated_48hours"
"Sample_364","male","Run2","Activated_48hours"
"Sample_365","female","Run2","Activated_48hours"
"Sample_366","female","Run2","Activated_48hours"
"Sample_367","female","Run2","Activated_48hours"
"Sample_368","male","Run2","Activated_48hours"
"Sample_369","female","Run2","Activated_48hours"
"Sample_370","male","Run2","Activated_48hours"
"Sample_371","female","Run2","Activated_48hours"
"Sample_372","male","Run2","Activated_48hours"
"Sample_373","male","Run2","Activated_48hours"
"Sample_374","female","Run2","Activated_48hours"
"Sample_375","female","Run2","Activated_48hours"
"Sample_376","female","Run2","Activated_48hours"
"Sample_377","female","Run2","Activated_48hours"
"Sample_378","male","Run2","Activated_48hours"
"Sample_379","female","Run2","Activated_48hours"
"Sample_380","female","Run2","Activated_48hours"
"Sample_381","female","Run2","Activated_48hours"
"Sample_382","male","Run2","Activated_48hours"
"Sample_383","female","Run2","Activated_48hours"
"Sample_384","female","Run2","Activated_48hours"
"Sample_385","female","Run2","Activated_48hours"
"Sample_386","female","Run2","Activated_48hours"
"Sample_387","male","Run2","Activated_48hours"
"Sample_388","female","Run2","Activated_48hours"
"Sample_389","male","Run2","Activated_48hours"
"Sample_390","female","Run2","Activated_48hours"
"Sample_391","female","Run2","Activated_48hours"
"Sample_392","female","Run2","Activated_48hours"
"Sample_393","male","Run2","Activated_48hours"
"Sample_394","female","Run2","Activated_48hours"
"Sample_395","female","Run2","Activated_48hours"
"Sample_396","female","Run2","Activated_48hours"
"Sample_397","female","Run2","Activated_48hours"
"Sample_398","female","Run2","Activated_48hours"
"Sample_399","female","Run2","Activated_48hours"
"Sample_400","female","Run2","Activated_48hours"
"Sample_401","male","Run2","Activated_48hours"
"Sample_402","male","Run2","Activated_48hours"
"Sample_403","male","Run2","Activated_48hours"
"Sample_404","female","Run2","Activated_48hours"
"Sample_405","female","Run2","Activated_48hours"
"Sample_406","male","Run2","Activated_48hours"
"Sample_407","female","Run2","Activated_48hours"
"Sample_408","female","Run2","Activated_48hours"
"Sample_409","male","Run2","Activated_48hours"
"Sample_410","female","Run2","Activated_48hours"
"Sample_411","female","Run2","Activated_48hours"
"Sample_412","female","Run2","Activated_48hours"
"Sample_413","male","Run2","Activated_48hours"
"Sample_414","male","Run2","Activated_48hours"
"Sample_415","female","Run2","Activated_48hours"
"Sample_416","female","Run2","Activated_48hours"
"Sample_417","female","Run2","Activated_48hours"
"Sample_418","female","Run2","Activated_48hours"
"Sample_419","male","Run2","Activated_48hours"
"Sample_420","female","Run2","Activated_48hours"
"Sample_421","female","Run2","Activated_48hours"
"Sample_422","male","Run2","Activated_48hours"
"Sample_423","female","Run2","Activated_48hours"
"Sample_424","male","Run2","Activated_48hours"
"Sample_425","female","Run2","Activated_48hours"
"Sample_426","female","Run2","Activated_48hours"
"Sample_427","female","Run2","Activated_48hours"
"Sample_428","female","Run2","Activated_48hours"
"Sample_429","male","Run2","Activated_48hours"
"Sample_430","male","Run2","Activated_48hours"
"Sample_431","male","Run2","Activated_48hours"
"Sample_432","male","Run2","Activated_48hours"
"Sample_433","female","Run2","Activated_48hours"
"Sample_434","female","Run2","Activated_48hours"
"Sample_435","male","Run2","Activated_48hours"
"Sample_436","female","Run2","Activated_48hours"
"Sample_437","female","Run2","Activated_48hours"
"Sample_438","female","Run2","Activated_48hours"
"Sample_439","female","Run2","Activated_48hours"
"Sample_440","male","Run2","Activated_48hours"
"Sample_441","female","Run2","Activated_48hours"
"Sample_442","female","Run2","Activated_48hours"
"Sample_443","male","Run2","Activated_48hours"
"Sample_444","female","Run2","Activated_48hours"
"Sample_445","female","Run2","Activated_48hours"
"Sample_446","female","Run2","Activated_48hours"
"Sample_447","female","Run2","Activated_48hours"
"Sample_448","female","Run2","Activated_48hours"
"Sample_449","male","Run2","Activated_48hours"
"Sample_450","male","Run2","Activated_48hours"
"Sample_451","male","Run2","Activated_48hours"
"Sample_452","male","Run2","Activated_48hours"
"Sample_453","male","Run2","Activated_48hours"
"Sample_454","female","Run2","Activated_48hours"
"Sample_455","male","Run2","Activated_48hours"
"Sample_456","male","Run2","Activated_48hours"
"Sample_457","male","Run2","Activated_48hours"
"Sample_458","male","Run2","Activated_48hours"
"Sample_459","female","Run2","Activated_48hours"
"Sample_460","male","Run2","Activated_48hours"
"Sample_461","female","Run2","Activated_48hours"
"Sample_462","female","Run2","Activated_48hours"
"Sample_463","female","Run2","Activated_48hours"
"Sample_464","male","Run2","Activated_48hours"
"Sample_465","female","Run2","Activated_48hours"
"Sample_466","female","Run2","Activated_48hours"
